municipio,id_estado,id_municipio
ALVARO OBREGON,9,1
AZCAPOTZALCO,9,2
BENITO JUAREZ,9,3
COYOACAN,9,4
CUAJIMALPA DE MORELOS,9,5
CUAUHTEMOC,9,6
GUSTAVO A. MADERO,9,7
IZTACALCO,9,8
IZTAPALAPA,9,9
LA MAGDALENA CONTRERAS,9,10
MIGUEL HIDALGO,9,11
MILPA ALTA,9,12
TLAHUAC,9,13
TLALPAN,9,14
VENUSTIANO CARRANZA,9,15
XOCHIMILCO,9,16
AGUASCALIENTES,1,17
SAN FRANCISCO DE LOS ROMO,1,18
EL LLANO,1,19
RINCON DE ROMOS,1,20
COSIO,1,21
SAN JOSE DE GRACIA,1,22
TEPEZALA,1,23
PABELLON DE ARTEAGA,1,24
ASIENTOS,1,25
CALVILLO,1,26
JESUS MARIA,1,27
MEXICALI,2,28
TECATE,2,29
SAN FELIPE,2,30
TIJUANA,2,31
PLAYAS DE ROSARITO,2,32
ENSENADA,2,33
SAN QUINTIN,2,34
LA PAZ,3,35
LOS CABOS,3,36
COMONDU,3,37
LORETO,3,38
MULEGE,3,39
CAMPECHE,4,40
CARMEN,4,41
PALIZADA,4,42
CANDELARIA,4,43
ESCARCEGA,4,44
CHAMPOTON,4,45
SEYBAPLAYA,4,46
HOPELCHEN,4,47
CALAKMUL,4,48
TENABO,4,49
HECELCHAKAN,4,50
CALKINI,4,51
DZITBALCHE,4,52
SALTILLO,5,53
ARTEAGA,5,54
JUAREZ,5,55
PROGRESO,5,56
ESCOBEDO,5,57
SAN BUENAVENTURA,5,58
ABASOLO,5,59
CANDELA,5,60
FRONTERA,5,61
MONCLOVA,5,62
CASTANOS,5,63
RAMOS ARIZPE,5,64
GENERAL CEPEDA,5,65
PIEDRAS NEGRAS,5,66
NAVA,5,67
ACUNA,5,68
MUZQUIZ,5,69
JIMENEZ,5,70
ZARAGOZA,5,71
MORELOS,5,72
ALLENDE,5,73
VILLA UNION,5,74
GUERRERO,5,75
HIDALGO,5,76
SABINAS,5,77
SAN JUAN DE SABINAS,5,78
TORREON,5,79
MATAMOROS,5,80
VIESCA,5,81
OCAMPO,5,82
NADADORES,5,83
SIERRA MOJADA,5,84
CUATRO CIENEGAS,5,85
LAMADRID,5,86
SACRAMENTO,5,87
SAN PEDRO,5,88
FRANCISCO I. MADERO,5,89
PARRAS,5,90
COLIMA,6,91
TECOMAN,6,92
MANZANILLO,6,93
ARMERIA,6,94
COQUIMATLAN,6,95
COMALA,6,96
IXTLAHUACAN,6,97
MINATITLAN,6,98
VILLA DE ALVAREZ,6,99
TUXTLA GUTIERREZ,7,100
SAN FERNANDO,7,101
